"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"K161","Percutaneous transluminal balloon atrial septostomy","K16.1",,"","HES-OPCSv4.9"
"K162","Percutaneous transluminal atrial septostomy NEC","K16.2",,"","HES-OPCSv4.9"
"K163","Percutaneous transluminal atrial septum fenestration closure with prosthesis","K16.3",,"","HES-OPCSv4.9"
"K164","Percutaneous transluminal atrial septum fenestration","K16.4",,"","HES-OPCSv4.9"
"K168","Other specified other therapeutic transluminal operations on septum of heart","K16.8",,"","HES-OPCSv4.9"
"K169","Unspecified other therapeutic transluminal operations on septum of heart","K16.9",,"","HES-OPCSv4.9"
"K17","Repair of univentricular heart","K17",,"","HES-OPCSv4.9"
"K171","Total cavopulmonary connection with extracardiac inferior caval vein to pulmonary artery conduit","K17.1",,"","HES-OPCSv4.9"
"K172","Total cavopulmonary connection with lateral atrial tunnel","K17.2",,"","HES-OPCSv4.9"
"K173","Aortopulmonary reconstruction with systemic to pulmonary arterial shunt","K17.3",,"","HES-OPCSv4.9"
"K174","Aortopulmonary reconstruction with right ventricle to pulmonary arterial valveless conduit","K17.4",,"","HES-OPCSv4.9"
"K175","Biventricular repair of hypoplastic left heart syndrome","K17.5",,"","HES-OPCSv4.9"
"K176","Takedown of total cavopulmonary connection","K17.6",,"","HES-OPCSv4.9"
"K177","Conversion of atrial pulmonary anastomosis to total pulmonary connection","K17.7",,"","HES-OPCSv4.9"
"K178","Other specified repair of univentricular heart","K17.8",,"","HES-OPCSv4.9"
"K179","Unspecified repair of univentricular heart","K17.9",,"","HES-OPCSv4.9"
"K18","Creation of valved cardiac conduit","K18",,"","HES-OPCSv4.9"
"K181","Creation of valved conduit between atrium and ventricle of heart","K18.1",,"","HES-OPCSv4.9"
"K182","Creation of valved conduit between right atrium and pulmonary artery","K18.2",,"","HES-OPCSv4.9"
"K183","Creation of valved conduit between right ventricle of heart and pulmonary artery","K18.3",,"","HES-OPCSv4.9"
"K184","Creation of valved conduit between left ventricle of heart and aorta","K18.4",,"","HES-OPCSv4.9"
"K185","Revision of valved cardiac conduit","K18.5",,"","HES-OPCSv4.9"
"K186","Creation of valved conduit between left ventricle of heart and pulmonary artery","K18.6",,"","HES-OPCSv4.9"
"K187","Replacement of valved cardiac conduit","K18.7",,"","HES-OPCSv4.9"
"K188","Other specified creation of valved cardiac conduit","K18.8",,"","HES-OPCSv4.9"
"K189","Unspecified creation of valved cardiac conduit","K18.9",,"","HES-OPCSv4.9"
"K19","Creation of other cardiac conduit","K19",,"","HES-OPCSv4.9"
"K191","Creation of conduit between atrium and ventricle of heart NEC","K19.1",,"","HES-OPCSv4.9"
"K192","Creation of conduit between right atrium and pulmonary artery NEC","K19.2",,"","HES-OPCSv4.9"
"K193","Creation of conduit between right ventricle of heart and pulmonary artery NEC","K19.3",,"","HES-OPCSv4.9"
"K194","Creation of conduit between right ventricle of heart and vena cava","K19.4",,"","HES-OPCSv4.9"
"K195","Creation of conduit between left ventricle of heart and aorta NEC","K19.5",,"","HES-OPCSv4.9"
"K198","Other specified creation of other cardiac conduit","K19.8",,"","HES-OPCSv4.9"
"K199","Unspecified creation of other cardiac conduit","K19.9",,"","HES-OPCSv4.9"
"K20","Refashioning of atrium","K20",,"","HES-OPCSv4.9"
"K201","Correction of persistent sinus venosus","K20.1",,"","HES-OPCSv4.9"
"K202","Correction of partial anomalous pulmonary venous drainage","K20.2",,"","HES-OPCSv4.9"
"K203","Repair of cor triatriatum","K20.3",,"","HES-OPCSv4.9"
"K204","Repair of coronary sinus abnormality","K20.4",,"","HES-OPCSv4.9"
"K208","Other specified refashioning of atrium","K20.8",,"","HES-OPCSv4.9"
"K209","Unspecified refashioning of atrium","K20.9",,"","HES-OPCSv4.9"
"K22","Other operations on wall of atrium","K22",,"","HES-OPCSv4.9"
"K241","Relief of right ventricular outflow tract obstruction","K24.1",,"","HES-OPCSv4.9"
"K242","Repair of double chambered right ventricle","K24.2",,"","HES-OPCSv4.9"
"K245","Relief of left ventricular outflow tract obstruction","K24.5",,"","HES-OPCSv4.9"
"K246","Myectomy of left ventricular outflow tract","K24.6",,"","HES-OPCSv4.9"
"K247","Myotomy of left ventricular outflow tract","K24.7",,"","HES-OPCSv4.9"
"K25","Plastic repair of mitral valve","K25",,"","HES-OPCSv4.9"
"K251","Allograft replacement of mitral valve","K25.1",,"","HES-OPCSv4.9"
"K252","Xenograft replacement of mitral valve","K25.2",,"","HES-OPCSv4.9"
"K253","Prosthetic replacement of mitral valve","K25.3",,"","HES-OPCSv4.9"
"K254","Replacement of mitral valve NEC","K25.4",,"","HES-OPCSv4.9"
"K255","Mitral valve repair NEC","K25.5",,"","HES-OPCSv4.9"
"K258","Other specified plastic repair of mitral valve","K25.8",,"","HES-OPCSv4.9"
"K259","Unspecified plastic repair of mitral valve","K25.9",,"","HES-OPCSv4.9"
"K26","Plastic repair of aortic valve","K26",,"","HES-OPCSv4.9"
"K261","Allograft replacement of aortic valve","K26.1",,"","HES-OPCSv4.9"
"K262","Xenograft replacement of aortic valve","K26.2",,"","HES-OPCSv4.9"
"K263","Prosthetic replacement of aortic valve","K26.3",,"","HES-OPCSv4.9"
"K264","Replacement of aortic valve NEC","K26.4",,"","HES-OPCSv4.9"
"K265","Aortic valve repair NEC","K26.5",,"","HES-OPCSv4.9"
"K268","Other specified plastic repair of aortic valve","K26.8",,"","HES-OPCSv4.9"
"K269","Unspecified plastic repair of aortic valve","K26.9",,"","HES-OPCSv4.9"
"K271","Allograft replacement of tricuspid valve","K27.1",,"","HES-OPCSv4.9"
"K272","Xenograft replacement of tricuspid valve","K27.2",,"","HES-OPCSv4.9"
"K273","Prosthetic replacement of tricuspid valve","K27.3",,"","HES-OPCSv4.9"
"K274","Replacement of tricuspid valve NEC","K27.4",,"","HES-OPCSv4.9"
"K275","Repositioning of tricuspid valve","K27.5",,"","HES-OPCSv4.9"
"K276","Tricuspid valve repair NEC","K27.6",,"","HES-OPCSv4.9"
"K278","Other specified plastic repair of tricuspid valve","K27.8",,"","HES-OPCSv4.9"
"K279","Unspecified plastic repair of tricuspid valve","K27.9",,"","HES-OPCSv4.9"
"K28","Plastic repair of pulmonary valve","K28",,"","HES-OPCSv4.9"
"K281","Allograft replacement of pulmonary valve","K28.1",,"","HES-OPCSv4.9"
"K282","Xenograft replacement of pulmonary valve","K28.2",,"","HES-OPCSv4.9"
"K283","Prosthetic replacement of pulmonary valve","K28.3",,"","HES-OPCSv4.9"
"K284","Replacement of pulmonary valve NEC","K28.4",,"","HES-OPCSv4.9"
"K285","Pulmonary valve repair NEC","K28.5",,"","HES-OPCSv4.9"
"K288","Other specified plastic repair of pulmonary valve","K28.8",,"","HES-OPCSv4.9"
"K289","Unspecified plastic repair of pulmonary valve","K28.9",,"","HES-OPCSv4.9"
"K29","Plastic repair of unspecified valve of heart","K29",,"","HES-OPCSv4.9"
"K291","Allograft replacement of valve of heart NEC","K29.1",,"","HES-OPCSv4.9"
"K292","Xenograft replacement of valve of heart NEC","K29.2",,"","HES-OPCSv4.9"
"K293","Prosthetic replacement of valve of heart NEC","K29.3",,"","HES-OPCSv4.9"
"K294","Replacement of valve of heart NEC","K29.4",,"","HES-OPCSv4.9"
"K295","Repair of valve of heart NEC","K29.5",,"","HES-OPCSv4.9"
"K296","Truncal valve repair","K29.6",,"","HES-OPCSv4.9"
"K297","Replacement of truncal valve","K29.7",,"","HES-OPCSv4.9"
"K298","Other specified plastic repair of unspecified valve of heart","K29.8",,"","HES-OPCSv4.9"
"K299","Unspecified plastic repair of unspecified valve of heart","K29.9",,"","HES-OPCSv4.9"
"K30","Revision of plastic repair of valve of heart","K30",,"","HES-OPCSv4.9"
"K301","Revision of plastic repair of mitral valve","K30.1",,"","HES-OPCSv4.9"
"K302","Revision of plastic repair of aortic valve","K30.2",,"","HES-OPCSv4.9"
"K303","Revision of plastic repair of tricuspid valve","K30.3",,"","HES-OPCSv4.9"
"K304","Revision of plastic repair of pulmonary valve","K30.4",,"","HES-OPCSv4.9"
"K305","Revision of plastic repair of truncal valve","K30.5",,"","HES-OPCSv4.9"
"K308","Other specified revision of plastic repair of valve of heart","K30.8",,"","HES-OPCSv4.9"
"K309","Unspecified revision of plastic repair of valve of heart","K30.9",,"","HES-OPCSv4.9"
"K31","Open incision of valve of heart","K31",,"","HES-OPCSv4.9"
"K311","Open mitral valvotomy","K31.1",,"","HES-OPCSv4.9"
"K312","Open aortic valvotomy","K31.2",,"","HES-OPCSv4.9"
"K313","Open tricuspid valvotomy","K31.3",,"","HES-OPCSv4.9"
"K314","Open pulmonary valvotomy","K31.4",,"","HES-OPCSv4.9"
"K315","Open truncal valvotomy","K31.5",,"","HES-OPCSv4.9"
"K318","Other specified open incision of valve of heart","K31.8",,"","HES-OPCSv4.9"
"K319","Unspecified open incision of valve of heart","K31.9",,"","HES-OPCSv4.9"
"K32","Closed incision of valve of heart","K32",,"","HES-OPCSv4.9"
"K321","Closed mitral valvotomy","K32.1",,"","HES-OPCSv4.9"
"K322","Closed aortic valvotomy","K32.2",,"","HES-OPCSv4.9"
"K323","Closed tricuspid valvotomy","K32.3",,"","HES-OPCSv4.9"
"K324","Closed pulmonary valvotomy","K32.4",,"","HES-OPCSv4.9"
"K328","Other specified closed incision of valve of heart","K32.8",,"","HES-OPCSv4.9"
"K329","Unspecified closed incision of valve of heart","K32.9",,"","HES-OPCSv4.9"
"K33","Operations on aortic root","K33",,"","HES-OPCSv4.9"
"K331","Aortic root replacement using pulmonary valve autograft with right ventricle to pulmonary artery valved conduit","K33.1",,"","HES-OPCSv4.9"
"K332","Aortic root replacement using pulmonary valve autograft with right ventricle to pulmonary artery valved conduit and aortoventriculoplasty","K33.2",,"","HES-OPCSv4.9"
"K333","Aortic root replacement using homograft","K33.3",,"","HES-OPCSv4.9"
"K334","Aortic root replacement using mechanical prosthesis","K33.4",,"","HES-OPCSv4.9"
"K335","Aortic root replacement NEC","K33.5",,"","HES-OPCSv4.9"
"K336","Aortoventriculoplasty with pulmonary valve autograft","K33.6",,"","HES-OPCSv4.9"
"K338","Other specified operations on aortic root","K33.8",,"","HES-OPCSv4.9"
"K339","Unspecified operations on aortic root","K33.9",,"","HES-OPCSv4.9"
"K34","Other open operations on valve of heart","K34",,"","HES-OPCSv4.9"
"K341","Annuloplasty of mitral valve","K34.1",,"","HES-OPCSv4.9"
"K342","Annuloplasty of tricuspid valve","K34.2",,"","HES-OPCSv4.9"
"K343","Annuloplasty of valve of heart NEC","K34.3",,"","HES-OPCSv4.9"
"K345","Closure of tricuspid valve","K34.5",,"","HES-OPCSv4.9"
"K346","Closure of pulmonary valve","K34.6",,"","HES-OPCSv4.9"
"K348","Other specified other open operations on valve of heart","K34.8",,"","HES-OPCSv4.9"
"K349","Unspecified other open operations on valve of heart","K34.9",,"","HES-OPCSv4.9"
"K35","Therapeutic transluminal operations on valve of heart","K35",,"","HES-OPCSv4.9"
"K351","Percutaneous transluminal mitral valvotomy","K35.1",,"","HES-OPCSv4.9"
"K352","Percutaneous transluminal aortic valvotomy","K35.2",,"","HES-OPCSv4.9"
"K353","Percutaneous transluminal tricuspid valvotomy","K35.3",,"","HES-OPCSv4.9"
"K354","Percutaneous transluminal pulmonary valvotomy","K35.4",,"","HES-OPCSv4.9"
"K355","Percutaneous transluminal valvuloplasty","K35.5",,"","HES-OPCSv4.9"
"K356","Percutaneous transluminal pulmonary valve perforation and dilation","K35.6",,"","HES-OPCSv4.9"
"K357","Percutaneous transluminal pulmonary valve replacement","K35.7",,"","HES-OPCSv4.9"
"K358","Other specified therapeutic transluminal operations on valve of heart","K35.8",,"","HES-OPCSv4.9"
"K359","Unspecified therapeutic transluminal operations on valve of heart","K35.9",,"","HES-OPCSv4.9"
"K36","Excision of valve of heart","K36",,"","HES-OPCSv4.9"
"K361","Tricuspid valvectomy","K36.1",,"","HES-OPCSv4.9"
"K362","Pulmonary valvectomy","K36.2",,"","HES-OPCSv4.9"
"K368","Other specified excision of valve of heart","K36.8",,"","HES-OPCSv4.9"
"K369","Unspecified excision of valve of heart","K36.9",,"","HES-OPCSv4.9"
"K37","Removal of obstruction from structure adjacent to valve of heart","K37",,"","HES-OPCSv4.9"
"K371","Infundibulectomy of heart using patch","K37.1",,"","HES-OPCSv4.9"
"K372","Infundibulectomy of heart NEC","K37.2",,"","HES-OPCSv4.9"
"K373","Repair of subaortic stenosis","K37.3",,"","HES-OPCSv4.9"
"K374","Repair of supra-aortic stenosis","K37.4",,"","HES-OPCSv4.9"
"K375","Excision of supramitral ring","K37.5",,"","HES-OPCSv4.9"
"K376","Aortoventriculoplasty","K37.6",,"","HES-OPCSv4.9"
"K378","Other specified removal of obstruction from structure adjacent to valve of heart","K37.8",,"","HES-OPCSv4.9"
"K379","Unspecified removal of obstruction from structure adjacent to valve of heart","K37.9",,"","HES-OPCSv4.9"
"K38","Other operations on structure adjacent to valve of heart","K38",,"","HES-OPCSv4.9"
"K381","Operations on papillary muscle","K38.1",,"","HES-OPCSv4.9"
"K382","Operations on chordae tendineae","K38.2",,"","HES-OPCSv4.9"
"K383","Operations on mitral subvalvar apparatus","K38.3",,"","HES-OPCSv4.9"
"K384","Closure of aorto-left ventricular tunnel","K38.4",,"","HES-OPCSv4.9"
"K385","Closure of aortic sinus of Valsalva fistula","K38.5",,"","HES-OPCSv4.9"
"K386","Repair of aortic sinus of Valsalva aneurysm","K38.6",,"","HES-OPCSv4.9"
"K388","Other specified other operations on structure adjacent to valve of heart","K38.8",,"","HES-OPCSv4.9"
"K389","Unspecified other operations on structure adjacent to valve of heart","K38.9",,"","HES-OPCSv4.9"
"K472","Repair of arteriovenous fistula of coronary artery","K47.2",,"","HES-OPCSv4.9"
"K475","Repair of arteriovenous malformation of coronary artery","K47.5",,"","HES-OPCSv4.9"
"K482","Transposition of coronary artery NEC","K48.2",,"","HES-OPCSv4.9"
"K577","Percutaneous transluminal ablation for congenital heart malformation","K57.7",,"","HES-OPCSv4.9"
"K654","Catheterisation of left side of heart via atrial transeptal puncture","K65.4",,"","HES-OPCSv4.9"
"L01","Open operations for combined abnormality of great vessels","L01",,"","HES-OPCSv4.9"
"L011","Correction of persistent truncus arteriosus","L01.1",,"","HES-OPCSv4.9"
"L012","Application of band to persistent truncus arteriosus","L01.2",,"","HES-OPCSv4.9"
"L013","Repair of anomalous pulmonary artery origin from ascending aorta","L01.3",,"","HES-OPCSv4.9"
"L014","Closure of aortopulmonary window","L01.4",,"","HES-OPCSv4.9"
"L018","Other specified open operations for combined abnormality of great vessels","L01.8",,"","HES-OPCSv4.9"
"L019","Unspecified open operations for combined abnormality of great vessels","L01.9",,"","HES-OPCSv4.9"
"L02","Open correction of patent ductus arteriosus","L02",,"","HES-OPCSv4.9"
"L021","Division of patent ductus arteriosus","L02.1",,"","HES-OPCSv4.9"
"L022","Ligature of patent ductus arteriosus","L02.2",,"","HES-OPCSv4.9"
"L023","Closure of patent ductus arteriosus NEC","L02.3",,"","HES-OPCSv4.9"
"L024","Revision of correction of patent ductus arteriosus","L02.4",,"","HES-OPCSv4.9"
"L028","Other specified open correction of patent ductus arteriosus","L02.8",,"","HES-OPCSv4.9"
"L029","Unspecified open correction of patent ductus arteriosus","L02.9",,"","HES-OPCSv4.9"
"L03","Transluminal operations on abnormality of great vessel","L03",,"","HES-OPCSv4.9"
"L031","Percutaneous transluminal prosthetic occlusion of patent ductus arteriosus","L03.1",,"","HES-OPCSv4.9"
"L032","Percutaneous transluminal stent implantation into arterial duct","L03.2",,"","HES-OPCSv4.9"
"L038","Other specified transluminal operations on abnormality of great vessel","L03.8",,"","HES-OPCSv4.9"
"L039","Unspecified transluminal operations on abnormality of great vessel","L03.9",,"","HES-OPCSv4.9"
"L04","Open operations on pulmonary arterial tree","L04",,"","HES-OPCSv4.9"
"L048","Other specified open operations on pulmonary arterial tree","L04.8",,"","HES-OPCSv4.9"
"L049","Unspecified open operations on pulmonary arterial tree","L04.9",,"","HES-OPCSv4.9"
"L05","Creation of shunt to pulmonary artery from aorta using interposition tube prosthesis","L05",,"","HES-OPCSv4.9"
"L051","Creation of shunt to main pulmonary artery from ascending aorta using interposition tube prosthesis","L05.1",,"","HES-OPCSv4.9"
"L052","Creation of shunt to right pulmonary artery from ascending aorta using interposition tube prosthesis","L05.2",,"","HES-OPCSv4.9"
"L053","Creation of shunt to left pulmonary artery from ascending aorta using interposition tube prosthesis","L05.3",,"","HES-OPCSv4.9"
"L054","Percutaneous transluminal balloon dilation of interposition tube prosthesis between pulmonary artery and aorta","L05.4",,"","HES-OPCSv4.9"
"L058","Other specified creation of shunt to pulmonary artery from aorta using interposition tube prosthesis","L05.8",,"","HES-OPCSv4.9"
"L059","Unspecified creation of shunt to pulmonary artery from aorta using interposition tube prosthesis","L05.9",,"","HES-OPCSv4.9"
"L06","Other connection to pulmonary artery from aorta","L06",,"","HES-OPCSv4.9"
"L061","Creation of aortopulmonary window","L06.1",,"","HES-OPCSv4.9"
"L062","Creation of anastomosis to main pulmonary artery from ascending aorta NEC","L06.2",,"","HES-OPCSv4.9"
"L063","Creation of anastomosis to right pulmonary artery from ascending aorta NEC","L06.3",,"","HES-OPCSv4.9"
"L064","Creation of anastomosis to left pulmonary artery from descending aorta NEC","L06.4",,"","HES-OPCSv4.9"
"L065","Creation of anastomosis to pulmonary artery from aorta NEC","L06.5",,"","HES-OPCSv4.9"
"L066","Revision of anastomosis to pulmonary artery from aorta","L06.6",,"","HES-OPCSv4.9"
"L067","Takedown of anastomosis to pulmonary artery from aorta","L06.7",,"","HES-OPCSv4.9"
"L068","Other specified other connection to pulmonary artery from aorta","L06.8",,"","HES-OPCSv4.9"
"L069","Unspecified other connection to pulmonary artery from aorta","L06.9",,"","HES-OPCSv4.9"
"L07","Creation of shunt to pulmonary artery from subclavian artery using interposition tube prosthesis","L07",,"","HES-OPCSv4.9"
"L071","Creation of shunt to right pulmonary artery from right subclavian artery using interposition tube prosthesis","L07.1",,"","HES-OPCSv4.9"
"L072","Creation of shunt to left pulmonary artery from left subclavian artery using interposition tube prosthesis","L07.2",,"","HES-OPCSv4.9"
"L073","Closure of prosthetic shunt to pulmonary artery from subclavian artery","L07.3",,"","HES-OPCSv4.9"
"L074","Percutaneous transluminal balloon dilation of interposition tube prosthesis between pulmonary artery and subclavian artery","L07.4",,"","HES-OPCSv4.9"
"L075","Percutaneous transluminal occlusion of interposition tube prosthesis between pulmonary artery and subclavian artery","L07.5",,"","HES-OPCSv4.9"
"L078","Other specified creation of shunt to pulmonary artery from subclavian artery using interposition tube prosthesis","L07.8",,"","HES-OPCSv4.9"
"L079","Unspecified creation of shunt to pulmonary artery from subclavian artery using interposition tube prosthesis","L07.9",,"","HES-OPCSv4.9"
"L08","Other connection to pulmonary artery from subclavian artery","L08",,"","HES-OPCSv4.9"
"L081","Creation of anastomosis to right pulmonary artery from right subclavian artery NEC","L08.1",,"","HES-OPCSv4.9"
"L082","Creation of anastomosis to left pulmonary artery from left subclavian artery NEC","L08.2",,"","HES-OPCSv4.9"
"L083","Creation of anastomosis to pulmonary artery from subclavian artery NEC","L08.3",,"","HES-OPCSv4.9"
"L084","Revision of anastomosis to pulmonary artery from subclavian artery","L08.4",,"","HES-OPCSv4.9"
"L086","Percutaneous transluminal balloon dilation of anastomosis between pulmonary artery and subclavian artery","L08.6",,"","HES-OPCSv4.9"
"L087","Percutaneous transluminal occlusion of anastomosis between pulmonary artery and subclavian artery","L08.7",,"","HES-OPCSv4.9"
"L088","Other specified other connection to pulmonary artery from subclavian artery","L08.8",,"","HES-OPCSv4.9"
